No.,nameen,ROCKTYPEid,slope-deg,IDW-5d,ls-value,latitude,longitude,STN0203,STN0311,STN0421,ls_prob
5235500,Tree,1,37.2204895,16.28163303088492,0,18.8650702870532,99.3533709037588,118.8024449,7975.145673,9031.532778,0.0
5235501,Tree,1,27.54367065,16.262034154901137,0,18.8650699941141,99.3535251713455,129.8469916,7975.682777,9035.420227,0.0
5235502,Tree,1,31.79223633,16.268265767106843,0,18.8650700842628,99.3534777043961,126.3287666,7975.513989,9034.221151,0.0
5235503,Tree,1,24.28587532,16.2474622933707,0,18.8650697912352,99.3536319719808,138.0980907,7976.074006,9038.127686,0.0
5235504,Tree,1,27.54367065,16.254026261701906,0,18.8650698814112,99.353584505032,134.377128,7975.898168,9036.922741,0.0
5235505,Tree,1,24.28587532,16.240518824641004,0,18.8650696976648,99.3536812189399,142.0417581,7976.259749,9039.380573,0.0
5235506,Tree,1,21.10684586,16.22531557867717,0,18.8650694980797,99.3537862395626,150.7041392,7976.667114,9042.061759,0.0
5235507,Tree,1,24.28587532,16.232249122871906,0,18.865069588295,99.3537387726147,146.7489113,7976.481095,9040.848344,0.0
5235508,Tree,1,19.1802578,16.209391448621815,0,18.865069295051,99.3538930401946,159.8180307,7977.097107,9044.801461,0.0
5235509,Tree,1,21.10684586,16.216520157030274,0,18.8650693852936,99.3538455732472,155.7328551,7976.904041,9043.582189,0.0
5235510,Tree,1,17.432621,16.19309304374999,0,18.8650690919611,99.3539998408251,169.1897963,7977.542954,9047.554333,0.0
5235511,Tree,1,19.1802578,16.200377757875938,0,18.8650691822308,99.3539523738784,164.9955158,7977.342843,9046.329209,0.0
5235512,Tree,1,15.64224625,16.176496427122036,0,18.8650688888098,99.3541066414543,178.7788865,7978.004653,9050.320363,0.0
5235513,Tree,1,17.432621,16.18390525729792,0,18.8650689791068,99.3540591745082,174.4925132,7977.797497,9049.089393,0.0
5235514,Tree,1,15.64224625,16.168760676268843,0,18.8650687951139,99.3541558884107,183.2643336,7978.222886,9051.600239,0.0
5235515,Tree,1,14.04702377,16.15212020490034,0,18.8650685952609,99.3542609090274,192.9476347,7978.699529,9054.338943,0.0
5235516,Tree,1,15.64224625,16.15966363246181,0,18.8650686855973,99.3542134420821,188.5521472,7978.482199,9053.099538,0.0
5235517,Tree,1,13.05873871,16.135033419189575,0,18.8650683919599,99.3543677096533,202.9401801,7979.199963,9057.137085,0.0
5235518,Tree,1,14.04702377,16.14264540944141,0,18.8650684823235,99.3543202427086,198.4823746,7978.975592,9055.891846,0.0
5235519,Tree,1,11.52797318,16.11781898166357,0,18.8650681885976,99.3544745102778,213.0585894,7979.716238,9059.948342,0.0
5235520,Tree,1,13.05873871,16.125483441504652,0,18.8650682789884,99.3544270433337,208.5471473,7979.484827,9058.697276,0.0
5235521,Grass,1,9.79425716,16.100508511644765,0,18.865067985174,99.3545813109009,223.2857522,7980.248351,9062.772704,0.0
5235522,Grass,1,11.52797318,16.10821211781806,0,18.8650680755921,99.3545338439574,218.7278929,7980.009901,9061.515815,0.0
5235523,Grass,1,9.79425716,16.092501541460706,0,18.8650678913525,99.3546305578544,228.0342081,7980.499049,9064.079459,0.0
5235524,Grass,1,8.54942226,16.075387196851768,0,18.8650676912317,99.3547355784652,238.2218944,7981.044914,9066.875446,0.0
